time,value,MA,PRICE
1590451200000,44,9302,8884
1590537600000,44,9259,8839
1590624000000,44,9241,9174
1590710400000,44,9230,9546
1590796800000,44,9205,9427
1590883200000,44,9196,9663
1590969600000,44,9190,9467
1591056000000,45,9291,10168
1591142400000,46,9326,9515
1591228800000,47,9369,9645
1591315200000,48,9464,9776
1591401600000,49,9533,9637
1591488000000,51,9607,9663
1591574400000,52,9659,9739
1591660800000,52,9679,9773
1591747200000,53,9710,9767
1591833600000,53,9730,9875
1591920000000,52,9717,9326
1592006400000,50,9653,9470
1592092800000,49,9649,9469
1592179200000,48,9622,9346
1592265600000,46,9591,9432
1592352000000,45,9580,9525
1592438400000,44,9562,9463
1592524800000,42,9531,9400
1592611200000,41,9490,9313
1592697600000,40,9453,9360
1592784000000,38,9400,9298
1592870400000,39,9432,9679
1592956800000,40,9446,9625
1593043200000,40,9430,9288
1593129600000,40,9422,9259
1593216000000,41,9398,9166
1593302400000,41,9351,9014
1593388800000,41,9322,9140
1593475200000,41,9302,9185
1593561600000,42,9288,9150
1593648000000,42,9276,9231
1593734400000,42,9257,9094
1593820800000,42,9202,9071
1593907200000,41,9157,9133
1593993600000,41,9139,9087
1594080000000,41,9147,9342
1594166400000,41,9155,9254
1594252800000,42,9193,9432
1594339200000,42,9201,9236
1594425600000,42,9210,9283
1594512000000,42,9218,9234
1594598400000,42,9224,9297
1594684800000,42,9237,9241
1594771200000,42,9253,9247
1594857600000,43,9260,9203
1594944000000,43,9264,9136
1595030400000,43,9247,9156
1595116800000,43,9240,9168
1595203200000,43,9219,9203
1595289600000,43,9212,9163
1595376000000,43,9221,9384
1595462400000,45,9247,9514
1595548800000,46,9273,9590
1595635200000,47,9300,9536
1595721600000,48,9341,9692
1595808000000,49,9406,9926
1595894400000,52,9572,10962
1595980800000,55,9731,10905
1596067200000,58,9906,11094
1596153600000,61,10080,11116
1596240000000,64,10277,11326
1596326400000,66,10497,11812
1596412800000,68,10639,11066
1596499200000,70,10788,11231
1596585600000,72,10937,11182
1596672000000,74,11122,11719
1596758400000,76,11289,11768
1596844800000,76,11345,11571
1596931200000,76,11420,11739
1597017600000,77,11474,11683
1597104000000,77,11542,11863
1597190400000,77,11549,11399
1597276800000,77,11527,11580
1597363200000,77,11596,11817
1597449600000,78,11645,11777
1597536000000,78,11707,11865
1597622400000,79,11724,11902
1597708800000,79,11770,12272
1597795200000,80,11804,11950
1597881600000,79,11804,11733
1597968000000,79,11820,11862
1598054400000,79,11788,11515
1598140800000,79,11814,11676
1598227200000,79,11820,11648
1598313600000,79,11815,11759
1598400000000,79,11776,11351
1598486400000,78,11739,11465
1598572800000,77,11685,11300
1598659200000,77,11616,11519
1598745600000,77,11574,11481
1598832000000,77,11571,11701
1598918400000,76,11553,11672
1599004800000,76,11588,11895
1599091200000,77,11565,11418
1599177600000,73,11433,10197
1599264000000,70,11317,10484
1599350400000,67,11210,10178
1599436800000,64,11101,10260
1599523200000,61,11015,10359
1599609600000,57,10888,10125
1599696000000,54,10775,10230
1599782400000,51,10651,10342
1599868800000,48,10533,10378
1599955200000,44,10401,10439
1600041600000,40,10302,10329
1600128000000,41,10344,10661
1600214400000,41,10372,10788
1600300800000,41,10442,10952
1600387200000,42,10504,10938
1600473600000,43,10555,10927
1600560000000,44,10643,11084
1600646400000,45,10706,10923
1600732800000,45,10714,10440
1600819200000,45,10728,10528
1600905600000,45,10708,10224
1600992000000,46,10745,10727
1601078400000,45,10747,10682
1601164800000,46,10742,10743
1601251200000,45,10725,10765
1601337600000,45,10701,10672
1601424000000,45,10693,10838
1601510400000,44,10665,10771
1601596800000,44,10638,10628
